time,acc_z,acc_y,acc_x,or_qz,or_qy,or_qx,or_qw,or_roll,or_pitch,or_yaw,Class
2023-10-21 17:16:52.270,0.5253865718841553,-0.6832915544509888,-0.2693214416503906,0.6671410202980042,-0.2476390749216079,0.6248322129249573,0.3212205469608307,-1.4738812446594238,-0.0710572898387909,-2.308624029159546,1
2023-10-21 17:16:52.330,-0.0512971878051757,-0.1578627824783325,-0.413334846496582,0.6608477830886841,-0.2554817199707031,0.6279452443122864,0.3220157623291015,-1.489699125289917,-0.0667971521615982,-2.2963500022888184,1
2023-10-21 17:16:52.350,-0.5145065784454346,-0.0916595160961151,-0.7873878479003906,0.6605355739593506,-0.2559160888195038,0.628074586391449,0.3220592141151428,-1.490473985671997,-0.0665201172232627,-2.295663595199585,1
2023-10-21 17:16:52.380,-1.886471152305603,0.2706754207611084,-1.2190189361572266,0.6583752632141113,-0.2594955265522003,0.6290883421897888,0.3216394782066345,-1.496761918067932,-0.0630301535129547,-2.291256189346313,1
2023-10-21 17:16:52.400,-2.4327597618103027,0.7124855518341064,-1.321798324584961,0.6571500301361084,-0.262602686882019,0.6300580501556396,0.3197194337844848,-1.5024960041046145,-0.0577770285308361,-2.2899363040924072,1
2023-10-21 17:16:52.420,-2.6817753314971924,0.6604989767074585,-1.6020622253417969,0.6571500301361084,-0.262602686882019,0.6300580501556396,0.3197194337844848,-1.5024960041046145,-0.0577770285308361,-2.2899363040924072,1
2023-10-21 17:16:52.480,-1.826899170875549,0.0820260345935821,-2.958115577697754,0.6573253273963928,-0.2647043168544769,0.6325297355651855,0.3126679956912994,-1.5110175609588623,-0.0475678406655788,-2.298414707183838,1
2023-10-21 17:16:52.500,-1.6546828746795654,1.262434720993042,-2.501768112182617,0.6573447585105896,-0.2647763192653656,0.6326719522476196,0.3122780621051788,-1.5114564895629885,-0.0470578297972679,-2.2989444732666016,1
2023-10-21 17:16:52.520,-1.816045880317688,1.922066330909729,-1.4021711349487305,0.6584262251853943,-0.2648433744907379,0.6334326267242432,0.3083766400814056,-1.5134724378585815,-0.0419242680072784,-2.305156707763672,1
2023-10-21 17:16:52.550,-1.874525547027588,1.2854979038238523,0.6322498321533203,0.6596128344535828,-0.2644959390163421,0.6340652704238892,0.3048181235790252,-1.5147210359573364,-0.0376282297074794,-2.311399459838867,1
2023-10-21 17:16:52.570,-1.4691622257232666,1.0651108026504517,0.6638603210449219,0.6596128344535828,-0.2644959390163421,0.6340652704238892,0.3048181235790252,-1.5147210359573364,-0.0376282297074794,-2.311399459838867,1
2023-10-21 17:16:52.630,-1.6539533138275146,0.0766307711601257,-0.1714153289794922,0.6623014807701111,-0.2626034617424011,0.6350975632667542,0.2984079420566559,-1.5153599977493286,-0.0311960503458976,-2.324463367462158,1
2023-10-21 17:16:52.650,-1.868521213531494,0.2164168953895568,-0.4067716598510742,0.6623014807701111,-0.2626034617424011,0.6350975632667542,0.2984079420566559,-1.5153599977493286,-0.0311960503458976,-2.324463367462158,1
2023-10-21 17:16:52.670,-1.7512694597244265,0.2064294815063476,-0.9557247161865234,0.6630215644836426,-0.261775255203247,0.6367074251174927,0.2940744459629059,-1.5185983180999756,-0.0273568779230117,-2.3326256275177,1
2023-10-21 17:16:52.730,-1.136181116104126,0.1606531143188476,-2.2634754180908203,0.6628414988517761,-0.2624880969524383,0.6380420923233032,0.290935605764389,-1.522760272026062,-0.0232844240963459,-2.336578369140625,1
